Files already downloaded and verified
EMNIST R37 [comp_greedy - static]: t=10849.78s, loss=0.4412, acc=0.8493, jfi=0.4000, auc=0.9963, roc=0.9972
EMNIST R38 [comp_greedy - static]: t=11143.02s, loss=0.4338, acc=0.8527, jfi=0.4000, auc=0.9964, roc=0.9973
EMNIST R39 [comp_greedy - static]: t=11436.26s, loss=0.4237, acc=0.8567, jfi=0.4000, auc=0.9964, roc=0.9974
EMNIST R40 [comp_greedy - static]: t=11729.49s, loss=0.4201, acc=0.8577, jfi=0.4000, auc=0.9965, roc=0.9974
EMNIST R41 [comp_greedy - static]: t=12022.73s, loss=0.4146, acc=0.8603, jfi=0.4000, auc=0.9966, roc=0.9975
EMNIST R42 [comp_greedy - static]: t=12315.97s, loss=0.4147, acc=0.8590, jfi=0.4000, auc=0.9966, roc=0.9975
EMNIST R43 [comp_greedy - static]: t=12609.21s, loss=0.4095, acc=0.8617, jfi=0.4000, auc=0.9966, roc=0.9975
EMNIST R44 [comp_greedy - static]: t=12902.44s, loss=0.4055, acc=0.8624, jfi=0.4000, auc=0.9966, roc=0.9976
EMNIST R45 [comp_greedy - static]: t=13195.68s, loss=0.4026, acc=0.8636, jfi=0.4000, auc=0.9967, roc=0.9976
EMNIST R46 [comp_greedy - static]: t=13488.92s, loss=0.4106, acc=0.8590, jfi=0.4000, auc=0.9967, roc=0.9975
EMNIST R47 [comp_greedy - static]: t=13782.16s, loss=0.3996, acc=0.8637, jfi=0.4000, auc=0.9967, roc=0.9976
EMNIST R48 [comp_greedy - static]: t=14075.39s, loss=0.3972, acc=0.8653, jfi=0.4000, auc=0.9968, roc=0.9977
EMNIST R49 [comp_greedy - static]: t=14368.63s, loss=0.3936, acc=0.8648, jfi=0.4000, auc=0.9968, roc=0.9977
EMNIST R50 [comp_greedy - static]: t=14661.87s, loss=0.3868, acc=0.8693, jfi=0.4000, auc=0.9968, roc=0.9978
EMNIST R1 [comm_greedy - static]: t=464.55s, loss=3.6043, acc=0.2163, jfi=0.4000, auc=0.8860, roc=0.8166
EMNIST R2 [comm_greedy - static]: t=929.10s, loss=1.6666, acc=0.5387, jfi=0.4000, auc=0.9632, roc=0.9603
EMNIST R3 [comm_greedy - static]: t=1393.65s, loss=1.3002, acc=0.6236, jfi=0.4000, auc=0.9753, roc=0.9757
